"Id";"Name";"Start";"End";"Duration";"Resources";"Effort";"Children";"Precursors";"Link to GitHub"
"curie.bug";"  Bugs";"2016-11-01";"2016-11-01";0.0;"";0.0;"The status bar is too wide (curie.bug.status_bar_GH40), Track MSYS2 pl2bat issue (curie.bug._Task_70), Track issue between Function::Parameters, Return::Type, and Devel::Cover (curie.bug._Task_71), Track PAR GUI output capture issue (curie.bug._Task_72), Track PAR XSLoader issue on MSYS2/MinGW64 (curie.bug._Task_73), Figure out why Gtk3 can not load 'libcairo-gobject.2.dylib' on macOS (curie.bug._Task_74), Fix focus for the text field and page drawing area (curie.bug._Task_75)";"";""
"curie.bug.status_bar_GH40";"    The status bar is too wide";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/40"
"curie.bug._Task_70";"    Track MSYS2 pl2bat issue";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/119"
"curie.bug._Task_71";"    Track issue between Function::Parameters, Return::Type, and Devel::Cover";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/120"
"curie.bug._Task_72";"    Track PAR GUI output capture issue";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/128"
"curie.bug._Task_73";"    Track PAR XSLoader issue on MSYS2/MinGW64";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/122"
"curie.bug._Task_74";"    Figure out why Gtk3 can not load 'libcairo-gobject.2.dylib' on macOS";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/167"
"curie.bug._Task_75";"    Fix focus for the text field and page drawing area";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/101"
"curie.qa";"  Quality assurance";"2016-11-01";"2016-11-01";0.0;"";0.0;"Gather feedback on GUI (curie.qa._Task_77), Make sure that FileChooserDialog shows consistent interface (curie.qa._Task_78), Dump version numbers of libraries used (curie.qa._Task_79), Ensure that the application menu is at the top bar (curie.qa._Task_80), Figure out how to run curie tests on release (curie.qa._Task_81)";"";""
"curie.qa._Task_77";"    Gather feedback on GUI";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/123"
"curie.qa._Task_78";"    Make sure that FileChooserDialog shows consistent interface";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/166"
"curie.qa._Task_79";"    Dump version numbers of libraries used";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/168"
"curie.qa._Task_80";"    Ensure that the application menu is at the top bar";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/160"
"curie.qa._Task_81";"    Figure out how to run curie tests on release";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/130"
"curie.milestone";"  Milestone";"2016-11-09";"2016-11-19";0.3;"";0.0;"v0.002 (curie.milestone.m0_002), v0.003 (curie.milestone.m0_003), v0.004 (curie.milestone.m0_004)";"";""
"curie.milestone.m0_002";"    v0.002";"2016-11-09";"2016-11-09";0.0;"";0.0;"";"Zoom using menu (curie.nav.zoom.menu) ]->[ 2016-11-02, Build script to create DMG for curie (curie.build.mac.dmg) ]->[ 2016-11-09";""
"curie.milestone.m0_003";"    v0.003";"2016-11-13";"2016-11-13";0.0;"";0.0;"";"v0.002 (curie.milestone.m0_002) ]->[ 2016-11-09, Zoom using text entry (curie.nav.zoom.entry) ]->[ 2016-11-13, GTK+ icon and color theming (curie.ui.theming) ]->[ 2016-11-11";""
"curie.milestone.m0_004";"    v0.004";"2016-11-19";"2016-11-19";0.0;"";0.0;"";"v0.003 (curie.milestone.m0_003) ]->[ 2016-11-13, Specific page position (curie.nav.outline.position) ]->[ 2016-11-17, Zoom using viewports (curie.nav.zoom.viewport) ]->[ 2016-11-19, Split view models into separate packages (data.model.split_201612) ]->[ 2016-11-19";""
"deliveries";"Deliveries";"2016-11-09";"2016-11-19";0.3;"";0.0;"Curie release v0.002 (deliveries._Task_87), Curie release v0.003 (deliveries._Task_88), Curie release v0.004 (deliveries._Task_89)";"";""
"deliveries._Task_87";"  Curie release v0.002";"2016-11-09";"2016-11-09";0.0;"";0.0;"";"Project start (start) ]->[ 2016-11-01, v0.002 (curie.milestone.m0_002) ]->[ 2016-11-09";""
"deliveries._Task_88";"  Curie release v0.003";"2016-11-13";"2016-11-13";0.0;"";0.0;"";"v0.003 (curie.milestone.m0_003) ]->[ 2016-11-13";""
"deliveries._Task_89";"  Curie release v0.004";"2016-11-19";"2016-11-19";0.0;"";0.0;"";"v0.004 (curie.milestone.m0_004) ]->[ 2016-11-19";""
